Order_ID,Sale_Date,Brand,Model,Category,Color,Engine_CC,Fuel_Type,Transmission,Mileage_KMPL,Ex_Showroom_Price_INR,Discount_INR,Units_Sold,Revenue_INR,State,City,Sales_Channel,Customer_Segment,Payment_Method,Customer_Rating
IND-16054,08-04-2022,KTM,RC 200,Electric,Matte Black,0,Electric,Manual,N/A,90400,2000,12,1060800,Maharashtra,Mumbai,Company Direct,Student,Cash,3.9
IND-20096,15-01-2024,Hero,,Commuter,Pearl White,100,electric,Manual,N/A,,0,14,1083600,Uttar Pradesh,Lucknow,Exchange,Delivery Executive,Credit Card,3.9
IND-10123,21-01-2023,Suzuki,Burgman Street,Adventure,Matte Black,300,Petrol,Manual,68.2,377700,,8,2901600,Maharashtra,Mumbai,Online,Student,Cash,4.6
IND-11202,04-03-2022,KTM,Adventure 390,Superbike,Glossy Red,1000,BS6 Petrol,Manual,45.3,451800,10000,11,4859800,Maharashtra,Mumbai,Exchange,Working Professional,Cash,4.8
IND-18840,29-08-2024,Royal Enfield,Himalayan,Adventure,Matte Black,650,BS6 Petrol,Manual,54.7,286300,7000,6,1675800,Uttar Pradesh,Lucknow,Online,Businessman,UPI,4.4
IND-19323,21-06-2023,HERO,Passion Pro,Sports,Lime Green,150,Petrol ,Manual,70.8,178500,7000,6,1029000,Tamil Nadu,Chennai,Online,Businessman,Credit Card,4.1
IND-13411,01-03-2021,Honda,Hornet 2.0,Adventure,Sunset Orange,390,Petrol,Manual,33.7,367400,15000,7,2466800,Rajasthan,Jaipur,Company Direct,Businessman,Credit Card,
IND-16893,11-02-2021,Hero,Xtreme 160R,COMMUTER,Glossy Red,150,petrol,Manual,35.8,70000,2000,3,204000,Kerala,Kochi,Company Direct,Student,Loan,4.5
IND-15080,22-03-2023,Hero,HF Deluxe,Scooter,Lime Green,110,Petrol,Manual,58.7,72500,10000,8,500000,Maharashtra,Mumbai,Company Direct,Working Professional,Credit Card,3.5
IND-11950,14-07-2024,Suzuki,Burgman Street,Superbike,Racing Blue,1000,BS6 Petrol,Manual,69.3,,2000,13,7326800,Delhi,New Delhi,Online,Businessman,Loan,4.9
IND-16669,03-02-2021,TVS,Ntorq 125,Electric,Candy Yellow,0,Electric,Manual,N/A,,5000,5,509500,Maharashtra,Mumbai,Online,Homemaker,Loan,5
IND-17444,17-06-2021,Royal Enfield,Himalayan,Superbike,Pearl White,650,Petrol,Manual,68.3,321800,10000,10,3118000,Uttar Pradesh,Lucknow,Company Direct,Student,EMI,4.2
IND-18067,07-10-2024,Jawa,Jawa 42,Scooter,Racing Blue,150,BS6 Petrol,Manual,30.1,97100,10000,4,348400,West Bengal,Kolkata,Exchange,Homemaker,UPI,3.4
IND-14102,03-10-2022,Bajaj,Avenger 220,Superbike,Glossy Red,390,EV,Manual,N/A,527900,5000,15,7843500,Delhi,New Delhi,Company Direct,Student,Credit Card,4.3
IND-11426,04-10-2022,KTM,Duke 200,electric,Matte Black,0,Petrol,Manual,38.4,140700,10000,14,1829800,Uttar Pradesh,Lucknow,Dealership,Homemaker,EMI,4.2
IND-13164,12-07-2024,Hero,Passion Pro,Cruiser,Sunset Orange,350,Petrol,Manual,70.8,186500,10000,3,529500,Kerala,Kochi,Exchange,Working Professional,Credit Card,4
IND-11417,01-12-2022,Bajaj,Pulsar NS200,Sports,Midnight Grey,200,EV,Manual,N/A,102900,7000,12,1150800,Maharashtra,Mumbai,Exchange,Delivery Executive,UPI,4
IND-18645,20-01-2023,Suzuki,V-Strom 650,Sports,Matte Black,150,Electric,Manual,N/A,169800,2000,2,335600,Telangana,Hyderabad,Dealership,Working Professional,EMI,3.6
IND-13138,25-10-2024,KTM,Adventure 390,Cruiser,Matte Black,350,Electric,Manual,N/A,163900,5000,5,794500,Kerala,Kochi,,Delivery Executive,EMI,
IND-16404,12-12-2022,Mahindra,Duro DZ,Commuter,Candy Yellow,110,BS6 Petrol,Manual,60.6,68200,10000,13,756600,Kerala,Kochi,,Delivery Executive,UPI,4.6
IND-19677,19-03-2023,KTM,Duke 390,Superbike,Racing Blue,650,Petrol,Manual,40.9,400900,10000,3,1172700,Tamil Nadu,Chennai,Company Direct,Working Professional,Loan,4.9
IND-13751,07-05-2021,Bajaj,Avenger 220,Cruiser,Racing Blue,500,Electric,Manual,N/A,191000,15000,13,2288000,Gujarat,Ahmedabad,Exchange,Delivery Executive,Cash,
IND-10122,29-07-2024,Royal Enfield,Meteor 350,Scooter,Lime Green,150,Petrol,Manual,50,99300,0,12,1191600,Gujarat,Ahmedabad,Company Direct,Businessman,EMI,3.2
IND-18203,12-08-2022,Mahindra,Duro DZ,Electric,Pearl White,0,Petrol,Manual,31.7,,2000,6,730800,West Bengal,Kolkata,Online,Working Professional,UPI,3.9
IND-17197,14-09-2021,KTM,RC 200,Commuter,Lime Green,100,Electric,Manual,N/A,73000,2000,13,923000,Tamil Nadu,Chennai,Dealership,Student,EMI,
IND-18649,15-09-2021,Suzuki,Gixxer 250,Scooter,Candy Yellow,150,BS6 Petrol,Manual,35.6,74500,2000,2,145000,Delhi,New Delhi,Online,Homemaker,Credit Card,3.4
IND-11797,20-02-2024,Yamaha,Ray ZR,Scooter,Midnight Grey,150,Electric,Manual,N/A,80400,7000,15,1101000,Karnataka,Bengaluru,,Working Professional,EMI,4
IND-18028,03-12-2024,Royal Enfield,Himalayan,Electric,,0,Electric,Manual,N/A,105400,2000,4,413600,Rajasthan,Jaipur,Company Direct,Student,Cash,
IND-18460,20-10-2023,Yamaha,MT-15,Sports,Racing Blue,250,BS6 Petrol,Manual,60.3,185400,10000,6,1052400,Uttar Pradesh,Lucknow,Company Direct,Delivery Executive,Loan,5
IND-13556,21-02-2023,Bajaj,Platina 110,Electric,Matte Black,0,EV,Manual,N/A,97300,5000,2,184600,Maharashtra,Mumbai,Exchange,Businessman,EMI,3.3
IND-12114,13-12-2021,Bajaj,Platina 110,Commuter,Pearl White,110,EV,Manual,N/A,67900,2000,6,395400,Delhi,New Delhi,,Student,EMI,3.4
IND-14929,04-07-2022,Yamaha,Ray ZR,Electric,Pearl White,0,Petrol,Manual,36,131100,10000,10,1211000,West Bengal,Kolkata,Dealership,Delivery Executive,UPI,3.1
IND-12036,16-02-2024,Yamaha,R15 V4,Adventure,Midnight Grey,390,Petrol,Manual,63.7,406300,3000,15,6049500,Maharashtra,Mumbai,Online,Homemaker,Credit Card,3.9
IND-13947,26-10-2024,Jawa,Perak,Sports,Midnight Grey,200,BS6 Petrol,Manual,60,168500,15000,5,767500,Uttar Pradesh,Lucknow,Dealership,Working Professional,,4.4
IND-12471,04-12-2023,Suzuki,Intruder 150,Electric,,0,Petrol,Manual,54.4,110300,0,3,330900,Uttar Pradesh,Lucknow,Exchange,Businessman,Cash,5
IND-15335,31-01-2023,Hero,HF Deluxe,cruiser,Pearl White,350,Petrol,Manual,38.8,204800,0,1,204800,Tamil Nadu,Chennai,Dealership,Delivery Executive,Cash,3.1
IND-13117,19-12-2023,Royal Enfield,Classic 350,Commuter,Glossy Red,125,petrol,Manual,31.7,74100,10000,7,448700,Delhi,New Delhi,Exchange,Businessman,Loan,3.9
IND-11244,06-07-2024,Suzuki,V-Strom 650,Electric,Sunset Orange,0,BS6 Petrol,Manual,59.2,119000,7000,6,672000,Kerala,Kochi,Dealership,Student,UPI,3.7
IND-12683,16.12.2022,Bajaj,CT110,Scooter,Candy Yellow,110,Petrol,Manual,36.9,86300,0,1,86300,Telangana,Hyderabad,,Homemaker,,4.7
IND-14222,11-11-2022,Honda,,Scooter,Racing Blue,110,Petrol,Manual,33.5,110100,15000,2,190200,Maharashtra,Mumbai,Exchange,Homemaker,EMI,3.1
IND-10586,09-12-2021,Yamaha,Ray ZR,Sports,Racing Blue,250,BS6 Petrol,Manual,73.3,172700,5000,1,167700,Maharashtra,Mumbai,Company Direct,Delivery Executive,,4.3
IND-10732,04-11-2021,Suzuki,V-Strom 650,Sports,Midnight Grey,200,Electric,Manual,N/A,116900,10000,11,1175900,Tamil Nadu,Chennai,Exchange,Homemaker,Loan,3.2
IND-13542,20-03-2022,Honda,Shine,Superbike,Glossy Red,650,BS6 Petrol,Manual,30.1,425400,7000,1,418400,Kerala,Kochi,Online,Homemaker,Credit Card,
IND-11128,08-09-2022,Jawa,Jawa Classic,Superbike,Racing Blue,390,Petrol,Manual,49.5,442700,3000,9,3957300,Delhi,New Delhi,Company Direct,Homemaker,EMI,4.9
IND-19482,11-04-2023,Mahindra,Duro DZ,Commuter,Racing Blue,100,BS6 Petrol,Manual,70,,,2,156400,Kerala,Kochi,Exchange,Student,Cash,4.1
IND-11457,16-09-2022,Suzuki,Burgman Street,Cruiser,Candy Yellow,220,BS6 Petrol,Manual,68.7,166400,0,4,665600,Maharashtra,Mumbai,Dealership,Businessman,,4.1
IND-20114,10-07-2022,Jawa,Perak,Superbike,Glossy Red,650,Petrol,Manual,46.4,433000,15000,11,4598000,Telangana,Hyderabad,Company Direct,Working Professional,Credit Card,3.8
IND-19175,07-02-2024,Suzuki,V-Strom 650,Adventure,Sunset Orange,650,BS6 Petrol,Manual,43,340400,0,3,1021200,Maharashtra,Mumbai,Exchange,Working Professional,EMI,4.2
IND-16623,16-06-2024,Yamaha,MT-15,Commuter,Glossy Red,150,Electric,Manual,N/A,82000,15000,3,201000,Rajasthan,Jaipur,Online,Businessman,Credit Card,4.1
IND-15590,08-07-2022,TVS,Ntorq 125,Scooter,Pearl White,125,Electric,Manual,N/A,105800,15000,12,1089600,Gujarat,Ahmedabad,Online,Delivery Executive,UPI,4.2
IND-10630,29-05-2022,Jawa,Jawa 42,Scooter,Glossy Red,150,Petrol,Manual,61.3,119100,5000,7,798700,Gujarat,Ahmedabad,Company Direct,Working Professional,Credit Card,3.1
IND-19330,13-03-2022,TVS,iQube Electric,scooter,Sunset Orange,110,Electric,Manual,,93900,10000,5,419500,West Bengal,Kolkata,Dealership,Delivery Executive,Cash,3.5
IND-16440,08-06-2022,Honda,Hornet 2.0,Commuter,Matte Black,110,Petrol,Manual,68.8,87200,7000,11,882200,Kerala,Kochi,Exchange,Businessman,EMI,4.9
IND-11282,07-11-2024,TVS,iQube Electric,Scooter,Pearl White,110,BS6,Manual,36.5,73100,10000,3,189300,Karnataka,Bengaluru,Dealership,Working Professional,Cash,3.2
IND-16697,06-08-2021,Suzuki,Burgman Street,COMMUTER,Midnight Grey,125,BS6 Petrol,Manual,66,70600,3000,6,405600,Kerala,Kochi,,Student,Cash,4.8
IND-19387,26-01-2023,KTM,RC 200,Adventure,Sunset Orange,390,Electric,Manual,N/A,312100,3000,13,4018300,Rajasthan,Jaipur,Dealership,Working Professional,Credit Card,3.3
IND-18708,03-01-2022,Honda,CB300R,Commuter,Racing Blue,110,Petrol,Manual,66.9,67100,10000,5,285500,Delhi,New Delhi,Online,Businessman,UPI,4.5
IND-10557,11-03-2023,KTM,Duke 390,Scooter,Racing Blue,110,bs6 petrol,Manual,56.4,114800,3000,15,1677000,Kerala,Kochi,Company Direct,Working Professional,UPI,
IND-13713,30-12-2022,Bajaj,Avenger 220,sports,Matte Black,160,Petrol,Manual,,111500,15000,12,1158000,Uttar Pradesh,Lucknow,Dealership,Student,Cash,4.2
IND-12010,20-11-2022,T.V.S,Ntorq 125,Commuter,Sunset Orange,150,Electric,Manual,N/A,78000,10000,15,1020000,Tamil Nadu,Chennai,Dealership,Delivery Executive,Credit Card,4.3
IND-20024,21-06-2022,Suzuki,Burgman Street,Adventure,Lime Green,300,BS6 Petrol,Manual,38,217400,5000,9,1911600,Gujarat,Ahmedabad,Company Direct,Businessman,UPI,4.5
IND-17748,01-05-2022,TVS,,Commuter,Matte Black,150,Electric,Manual,N/A,60500,0,1,60500,Delhi,New Delhi,Company Direct,Businessman,,4.6
IND-13122,23-08-2022,Bajaj,Platina 110,Commuter,Candy Yellow,150,Electric,Manual,N/A,58700,2000,6,340200,delhi,New Delhi,Company Direct,Student,Credit Card,4
IND-18652,16-06-2021,KTM,Duke 200,Sports,Candy Yellow,160,Petrol,Manual,62.6,,10000,12,1279200,Maharashtra,Mumbai,Online,Student,Loan,3.7
IND-15414,16-05-2024,Yamaha,MT-15,Electric,Glossy Red,0,BS6 Petrol,Manual,40.2,,5000,6,450000,Rajasthan,Jaipur,Dealership,Businessman,UPI,4.3
IND-17368,05-04-2021,Yamaha,FZ-S V3,Scooter,Racing Blue,150,BS6 Petrol,Manual,70.3,112900,10000,10,1029000,Uttar Pradesh,Lucknow,Online,Businessman,UPI,3.5
IND-18395,11-07-2021,Jawa,Yezdi Scrambler,Sports,Lime Green,160,electric,Manual,N/A,196400,15000,11,1995400,MAHARASHTRA,Mumbai,Online,Working Professional,Credit Card,4.9
